State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
AK,Anchorage Borough,Medium metro,170,2478
AK,Bethel Census Area,Noncore,12,119
AK,Fairbanks North Star Borough,Small metro,31,581
AK,Kenai Peninsula Borough,Noncore,14,406
AK,Matanuska-Susitna Borough,Medium metro,31,692
AL,Autauga County,Medium metro,73,585
AL,Baldwin County,Small metro,200,2569
AL,Barbour County,Noncore,27,313
AL,Bibb County,Large fringe metro,25,205
AL,Blount County,Large fringe metro,42,565
AL,Butler County,Noncore,30,260
AL,Calhoun County,Small metro,237,1856
AL,Chambers County,Micropolitan,26,421
AL,Cherokee County,Noncore,16,329
AL,Chilton County,Large fringe metro,25,456
AL,Choctaw County,Noncore,13,121
AL,Clay County,Noncore,34,226
AL,Cleburne County,Noncore,12,154
AL,Coffee County,Micropolitan,63,630
AL,Colbert County,Small metro,151,829
AL,Covington County,Noncore,91,651
AL,Crenshaw County,Noncore,30,228
AL,Cullman County,Micropolitan,185,1340
AL,Dale County,Micropolitan,65,530
AL,Dallas County,Micropolitan,101,614
AL,DeKalb County,Noncore,99,875
AL,Elmore County,Medium metro,55,789
AL,Escambia County,Noncore,45,458
AL,Etowah County,Small metro,319,1981
AL,Fayette County,Noncore,23,192
AL,Franklin County,Noncore,26,369
AL,Geneva County,Small metro,29,372
AL,Hale County,Small metro,18,179
AL,Houston County,Small metro,487,2411
AL,Jackson County,Micropolitan,58,753
AL,Jefferson County,Large central metro,1693,12337
AL,Lauderdale County,Small metro,229,1800
AL,Lawrence County,Small metro,19,369
AL,Lee County,Small metro,243,1496
AL,Limestone County,Medium metro,99,988
AL,Madison County,Medium metro,528,5061
AL,Marengo County,Noncore,40,313
AL,Marion County,Noncore,67,481
AL,Marshall County,Micropolitan,172,1467
AL,Mobile County,Medium metro,748,6416
AL,Monroe County,Noncore,18,253
AL,Montgomery County,Medium metro,678,3911
AL,Morgan County,Small metro,200,1688
AL,Pickens County,Small metro,10,192
AL,Pike County,Micropolitan,56,373
AL,Randolph County,Noncore,13,231
AL,Russell County,Medium metro,29,451
AL,St. Clair County,Large fringe metro,95,950
AL,Shelby County,Large fringe metro,148,1671
AL,Talladega County,Micropolitan,104,1060
AL,Tallapoosa County,Noncore,101,659
AL,Tuscaloosa County,Small metro,516,2937
AL,Walker County,Large fringe metro,168,1221
AL,Washington County,Noncore,10,134
AL,Winston County,Noncore,27,324
AR,Arkansas County,Noncore,10,236
AR,Ashley County,Noncore,10,219
AR,Baxter County,Micropolitan,127,1097
AR,Benton County,Medium metro,406,2427
AR,Boone County,Micropolitan,67,525
AR,Bradley County,Noncore,18,129
AR,Carroll County,Noncore,15,259
AR,Chicot County,Noncore,20,130
AR,Clark County,Micropolitan,23,263
AR,Clay County,Noncore,25,207
AR,Cleburne County,Noncore,25,332
AR,Columbia County,Micropolitan,46,317
AR,Craighead County,Small metro,479,2678
AR,Crawford County,Medium metro,32,532
AR,Crittenden County,Large fringe metro,34,423
AR,Cross County,Noncore,15,202
AR,Dallas County,Noncore,13,100
AR,Drew County,Noncore,18,263
AR,Faulkner County,Medium metro,183,1352
AR,Franklin County,Noncore,19,190
AR,Fulton County,Noncore,32,192
AR,Garland County,Small metro,312,2239
AR,Grant County,Medium metro,11,142
AR,Greene County,Micropolitan,46,452
AR,Hempstead County,Noncore,16,204
AR,Hot Spring County,Micropolitan,15,336
AR,Howard County,Noncore,16,159
AR,Independence County,Micropolitan,152,715
AR,Izard County,Noncore,20,188
AR,Jackson County,Noncore,12,215
AR,Jefferson County,Small metro,156,1098
AR,Johnson County,Noncore,20,256
AR,Lawrence County,Noncore,20,167
AR,Lincoln County,Small metro,14,99
AR,Little River County,Small metro,28,170
AR,Logan County,Noncore,17,262
AR,Lonoke County,Medium metro,34,522
AR,Marion County,Noncore,19,206
AR,Miller County,Small metro,12,363
AR,Mississippi County,Micropolitan,39,451
AR,Montgomery County,Noncore,13,115
AR,Nevada County,Noncore,10,75
AR,Newton County,Micropolitan,13,96
AR,Ouachita County,Micropolitan,39,346
AR,Phillips County,Micropolitan,17,193
AR,Poinsett County,Small metro,13,178
AR,Polk County,Noncore,56,274
AR,Pope County,Micropolitan,64,802
AR,Pulaski County,Medium metro,958,7848
AR,Randolph County,Noncore,21,185
AR,Saline County,Medium metro,123,1141
AR,Scott County,Noncore,11,123
AR,Searcy County,Noncore,11,88
AR,Sebastian County,Medium metro,414,2820
AR,Sharp County,Noncore,14,204
AR,Stone County,Noncore,15,178
AR,Union County,Micropolitan,92,674
AR,Washington County,Medium metro,416,2865
AR,White County,Micropolitan,137,1179
AR,Yell County,Micropolitan,27,211
AZ,Apache County,Noncore,92,661
AZ,Cochise County,Small metro,114,1311
AZ,Coconino County,Small metro,227,1447
AZ,Gila County,Micropolitan,98,858
AZ,Graham County,Micropolitan,45,364
AZ,La Paz County,Noncore,19,311
AZ,Maricopa County,Large central metro,8325,51232
AZ,Mohave County,Small metro,506,4220
AZ,Navajo County,Micropolitan,156,1273
AZ,Pima County,Medium metro,2239,15154
AZ,Pinal County,Large fringe metro,273,3196
AZ,Santa Cruz County,Micropolitan,20,270
AZ,Yavapai County,Small metro,357,3854
AZ,Yuma County,Small metro,630,2648
CA,Alameda County,Large central metro,1064,12608
CA,Amador County,Noncore,45,482
CA,Butte County,Small metro,211,2701
CA,Calaveras County,Noncore,17,434
CA,Colusa County,Noncore,17,133
CA,Contra Costa County,Large fringe metro,616,9442
CA,El Dorado County,Large fringe metro,103,1662
CA,Fresno County,Medium metro,1351,10169
CA,Glenn County,Noncore,28,234
CA,Humboldt County,Micropolitan,26,1409
CA,Imperial County,Small metro,468,1600
CA,Inyo County,Noncore,25,213
CA,Kern County,Medium metro,1027,8094
CA,Kings County,Small metro,269,1232
CA,Lake County,Micropolitan,43,719
CA,Lassen County,Micropolitan,16,215
CA,Los Angeles County,Large central metro,15956,91672
CA,Madera County,Small metro,167,1174
CA,Marin County,Large fringe metro,169,2358
