State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
AK,Anchorage Municipality,Distribution of all-cause deaths (%),2478,170,0.579,0.044,0.211,0.056,0.029,0.033,0.047
AK,Anchorage Municipality,Distribution of COVID-19 deaths (%),2478,170,0.318,,0.335,0.147,0.088,,
AK,Anchorage Municipality,Distribution of population (%),2478,170,0.556,0.052,0.081,0.095,0.026,0.091,0.099
AL,Baldwin County,Distribution of all-cause deaths (%),2569,200,0.9,0.079,,,,0.013,
AL,Baldwin County,Distribution of COVID-19 deaths (%),2569,200,0.86,0.115,,,,,
AL,Baldwin County,Distribution of population (%),2569,200,0.832,0.086,0.007,0.011,0.001,0.047,0.017
AL,Calhoun County,Distribution of all-cause deaths (%),1856,237,0.832,0.154,,,,0.008,
AL,Calhoun County,Distribution of COVID-19 deaths (%),1856,237,0.81,0.177,,,,,
AL,Calhoun County,Distribution of population (%),1856,237,0.716,0.21,0.004,0.009,0.001,0.041,0.019
AL,Colbert County,Distribution of all-cause deaths (%),829,151,0.813,0.175,,,,0.012,
AL,Colbert County,Distribution of COVID-19 deaths (%),829,151,0.795,0.159,,,,,
AL,Colbert County,Distribution of population (%),829,151,0.777,0.16,0.006,0.007,0.001,0.032,0.018
AL,Cullman County,Distribution of all-cause deaths (%),1340,185,0.98,0.009,,,,0.007,
AL,Cullman County,Distribution of COVID-19 deaths (%),1340,185,0.978,,,,,,
AL,Cullman County,Distribution of population (%),1340,185,0.916,0.012,0.006,0.007,0.001,0.045,0.013
AL,Dallas County,Distribution of all-cause deaths (%),614,101,0.345,0.651,,,,,
AL,Dallas County,Distribution of COVID-19 deaths (%),614,101,0.307,0.683,,,,,
AL,Dallas County,Distribution of population (%),614,101,0.27,0.703,0.002,0.004,0,0.012,0.009
AL,Etowah County,Distribution of all-cause deaths (%),1981,319,0.857,0.132,,,,0.008,
AL,Etowah County,Distribution of COVID-19 deaths (%),1981,319,0.862,0.132,,,,,
