State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
Alabama,All Sexes,All Ages,8695,69767,6186,2918,145,12093
Alabama,Male,All Ages,4647,36326,3369,1593,87,6502
Alabama,Male,Under 1 year,,237,,0,,
Alabama,Male,0-17 years,,438,,0,,
Alabama,Male,1-4 years,0,48,0,0,0,0
Alabama,Male,5-14 years,0,71,,0,0,
Alabama,Male,15-24 years,,560,,0,,11
Alabama,Male,18-29 years,19,922,14,,,31
Alabama,Male,25-34 years,34,992,35,13,,58
Alabama,Male,30-49 years,212,3064,177,70,,324
Alabama,Male,35-44 years,95,1449,79,32,,145
Alabama,Male,45-54 years,265,2634,188,86,,374
Alabama,Male,50-64 years,854,7738,609,268,30,1224
Alabama,Male,55-64 years,687,6171,494,212,25,993
Alabama,Male,65-74 years,1292,8872,945,460,26,1801
Alabama,Male,75-84 years,1395,9003,983,487,13,1901
Alabama,Male,85 years and over,874,6289,637,303,,1214
Alabama,Female,All Ages,4048,33441,2817,1325,58,5591
Alabama,Female,Under 1 year,,164,,,0,
Alabama,Female,0-17 years,,254,,,,
Alabama,Female,1-4 years,0,37,,0,,
Alabama,Female,5-14 years,0,35,,0,0,
Alabama,Female,15-24 years,,190,,0,0,13
Alabama,Female,18-29 years,,324,14,,0,18
Alabama,Female,25-34 years,19,434,23,10,,34
Alabama,Female,30-49 years,150,1801,110,43,,223
Alabama,Female,35-44 years,67,846,49,17,,102
Alabama,Female,45-54 years,208,1764,126,63,,278
Alabama,Female,50-64 years,628,5188,478,200,18,923
Alabama,Female,55-64 years,486,4097,395,155,12,737
Alabama,Female,65-74 years,893,6511,628,304,16,1232
Alabama,Female,75-84 years,1151,8815,837,423,10,1574
Alabama,Female,85 years and over,1219,10548,744,352,,1614
Alabama,Unknown,All Ages,0,0,0,0,0,0
Alabama,Unknown,Under 1 year,0,0,0,0,0,0
Alabama,Unknown,0-17 years,0,0,0,0,0,0
Alabama,Unknown,1-4 years,0,0,0,0,0,0
Alabama,Unknown,5-14 years,0,0,0,0,0,0
Alabama,Unknown,15-24 years,0,0,0,0,0,0
Alabama,Unknown,18-29 years,0,0,0,0,0,0
Alabama,Unknown,25-34 years,0,0,0,0,0,0
Alabama,Unknown,30-49 years,0,0,0,0,0,0
Alabama,Unknown,35-44 years,0,0,0,0,0,0
Alabama,Unknown,45-54 years,0,0,0,0,0,0
Alabama,Unknown,50-64 years,0,0,0,0,0,0
Alabama,Unknown,55-64 years,0,0,0,0,0,0
Alabama,Unknown,65-74 years,0,0,0,0,0,0
Alabama,Unknown,75-84 years,0,0,0,0,0,0
Alabama,Unknown,85 years and over,0,0,0,0,0,0
Alaska,All Sexes,All Ages,271,5214,322,147,,455
Alaska,Male,All Ages,157,3010,181,80,,263
Alaska,Male,Under 1 year,0,28,0,0,0,0
Alaska,Male,0-17 years,0,69,0,0,,
Alaska,Male,1-4 years,0,,0,0,,
Alaska,Male,5-14 years,0,23,0,0,0,0
Alaska,Male,15-24 years,0,96,,0,0,
Alaska,Male,18-29 years,0,143,,0,0,
Alaska,Male,25-34 years,0,141,,0,0,
Alaska,Male,30-49 years,10,354,20,,0,25
Alaska,Male,35-44 years,,179,12,,0,15
Alaska,Male,45-54 years,,244,,,0,14
Alaska,Male,50-64 years,21,691,30,,,43
Alaska,Male,55-64 years,17,542,27,,,36
Alaska,Male,65-74 years,44,671,41,22,0,63
Alaska,Male,75-84 years,49,663,52,27,,75
Alaska,Male,85 years and over,33,419,37,17,,55
Alaska,Female,All Ages,114,2204,141,67,,192
Alaska,Female,Under 1 year,0,13,0,0,0,0
Alaska,Female,0-17 years,0,31,,0,,
Alaska,Female,1-4 years,0,,,0,,
Alaska,Female,5-14 years,0,,0,0,0,0
Alaska,Female,15-24 years,,37,,,0,
Alaska,Female,18-29 years,,64,,,0,
Alaska,Female,25-34 years,,88,,,0,
Alaska,Female,30-49 years,,237,,,0,12
Alaska,Female,35-44 years,,104,,,0,
Alaska,Female,45-54 years,,156,,,0,10
Alaska,Female,50-64 years,19,395,27,10,0,36
Alaska,Female,55-64 years,17,319,22,,0,30
Alaska,Female,65-74 years,21,450,30,15,,38
Alaska,Female,75-84 years,29,464,30,19,,41
Alaska,Female,85 years and over,36,563,39,18,0,57
Alaska,Unknown,All Ages,0,0,0,0,0,0
Alaska,Unknown,Under 1 year,0,0,0,0,0,0
Alaska,Unknown,0-17 years,0,0,0,0,0,0
Alaska,Unknown,1-4 years,0,0,0,0,0,0
Alaska,Unknown,5-14 years,0,0,0,0,0,0
Alaska,Unknown,15-24 years,0,0,0,0,0,0
Alaska,Unknown,18-29 years,0,0,0,0,0,0
Alaska,Unknown,25-34 years,0,0,0,0,0,0
Alaska,Unknown,30-49 years,0,0,0,0,0,0
Alaska,Unknown,35-44 years,0,0,0,0,0,0
Alaska,Unknown,45-54 years,0,0,0,0,0,0
Alaska,Unknown,50-64 years,0,0,0,0,0,0
Alaska,Unknown,55-64 years,0,0,0,0,0,0
Alaska,Unknown,65-74 years,0,0,0,0,0,0
Alaska,Unknown,75-84 years,0,0,0,0,0,0
Alaska,Unknown,85 years and over,0,0,0,0,0,0
Arizona,All Sexes,All Ages,13101,86851,11777,7733,152,17293
Arizona,Male,All Ages,7737,47919,6930,4673,83,10074
Arizona,Male,Under 1 year,0,231,,0,,
Arizona,Male,0-17 years,,522,10,,,19
Arizona,Male,1-4 years,,62,,0,,
Arizona,Male,5-14 years,,82,,,,
Arizona,Male,15-24 years,24,916,22,10,,38
Arizona,Male,18-29 years,54,1527,51,31,,76
Arizona,Male,25-34 years,94,1657,77,53,,120
Arizona,Male,30-49 years,484,4207,365,267,,589
Arizona,Male,35-44 years,221,1997,163,116,,272
Arizona,Male,45-54 years,542,3184,435,325,,660
Arizona,Male,50-64 years,1533,8804,1336,935,22,1956
Arizona,Male,55-64 years,1193,6931,1059,729,15,1538
Arizona,Male,65-74 years,1860,10504,1704,1167,20,2416
Arizona,Male,75-84 years,2284,12293,2072,1402,15,2968
Arizona,Male,85 years and over,1515,10062,1392,869,12,2050
Arizona,Female,All Ages,5364,38932,4847,3060,69,7219
Arizona,Female,Under 1 year,0,192,,0,0,
Arizona,Female,0-17 years,,361,,,,10
Arizona,Female,1-4 years,0,48,,0,0,
Arizona,Female,5-14 years,,72,,,,
Arizona,Female,15-24 years,10,272,12,,0,15
